iter	Passed	Remaining
0	1	106
1	1	95
2	2	89
3	3	81
4	4	81
5	5	78
6	5	77
7	6	77
8	7	76
9	8	74
10	9	73
11	9	73
12	10	71
13	11	70
14	12	69
15	13	68
16	13	68
17	14	67
18	15	66
19	16	65
20	17	64
21	18	63
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	49
40	33	48
41	33	46
42	34	45
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	41
49	40	40
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
